sentence,class_num,class_name
"In 2021, Nvidia will expand its scope 3 emissions inventory to include all relevant sources, such as manufacturing supply chain and downstream product use and disposal.
",15,Product_Design_And_Lifecycle_Management

"Nvidia aims to maintain a waste-to-landfill diversion rate of 80% or greater each year at their Silicon Valley headquarters
",19,Waste_And_Hazardous_Materials_Management

"Apple aims to achieve carbon neutrality for their entire carbon footprint by 2030, and reach their science-based emissions reduction target
",25,GHG_Emissions

"Apple aims to create products with net zero carbon impact by 2030
",15,Product_Design_And_Lifecycle_Management

"Apple has been carbon neutral for corporate operations since April 2020
",3,Business_Model_Resilience

"Apple has avoided 15M metric tons of emissions due to carbon reduction initiatives
",25,GHG_Emissions

"Restore fund will invest up to $200M in natural climate solutions. 
",13,Physical_Impacts_Of_Climate_Change

"100+ suppliers committed to 100% renewable energy
",24,Energy_Management

"Since 2011, the scopes 1 and 2 emissions of Apple have declined by 73 percent
",25,GHG_Emissions

"Switching to the Apple M1 chip for Mac mini reduced the energy needed to use the device and drove down the product’s carbon footprint by 34 percent.
",24,Energy_Management

"By switching to recycled and hydro-smelted aluminum, the carbon emissions associated with aluminum in Apple have decreased by 72 percent since 2015.
",25,GHG_Emissions

"Accenture aims to achieve 50% women and 50% male in the workforce by 2025
",8,Employee_Engagement_Inclusion_And_Diversity

"Accenture aims at 100% renewable energy by 2023
",24,Energy_Management

"Accenture requires 90% of their key suppliers to disclose their environment targets and actions to reduce emissions by 2025. 
",17,Supply_Chain_Management

"Accenture aims to reduce absolute GHG emissions by 11%
",25,GHG_Emissions

"Accenture aims to reduce Scope 1 and Scope 2 GHG emissions by 65%
",25,GHG_Emissions

"Accenture aims to reduce Scope 1, 2 and 3 emissions per unit of revenue intensity by 40% against their 2016 baseline. 
",25,GHG_Emissions

"Adobe aims at 75% renewable electricity online by end of FY22
",24,Energy_Management

"Amazon will reach carbon neutrality in its operations by 2025.
",25,GHG_Emissions

"More than 80% of Adobe office spaces around the world are LEED or  green building certified. 
",26,Outlier

"Amazon have launched the Climate Pledge fund, a $2 billion investment program to support the development of sustainable and decarbonizing technologies and services. 
",13,Physical_Impacts_Of_Climate_Change

"Amazon has delivered more than 20 million packages to customers in electric delivery vehicles across North America and Europe in 2020
",15,Product_Design_And_Lifecycle_Management

"Amazon became the world’s largest corporate purchaser of renewable energy and reached 65% renewable energy across our business
",24,Energy_Management

"Adidas aims to reduce absolute GHG emissions by 5%
",25,GHG_Emissions

"Amazon aims to power their operations with 100% renewable energy by 2025. 
",24,Energy_Management

"Amazon aims to make 50% of all shipments net-zero carbon by 2030
",24,Energy_Management

"Amazon aims at reaching net-zero carbon emissions across their operations by 2040
",25,GHG_Emissions

"Mercedes will reach carbon neutrality in its operations by 2027.
",25,GHG_Emissions

"Amazon will deploy 100,000 custom electric delivery vehicles by 2030
",24,Energy_Management

"Amazon will invest $100 million in reforestation projects and climate mitigation solutions
",23,Ecological_Impacts

"Schneider Electric will become carbon neutral in their operations by 2025
",24,Energy_Management

"Schneider Electric is on track to meet their validated science based target by 2030
",12,Management_Of_Legal_And_Regulatory_Framework

"All of the products manufactured by Schneider Electric will be carbon neutral by 2040
",15,Product_Design_And_Lifecycle_Management

"Schneider Electric is engaging with suppliers towards a net-zero supply chain by 2050 
",17,Supply_Chain_Management

"Schneider Electric have achieved 80% renewable energy in 2020. 
",24,Energy_Management

"Infosys will reach carbon neutrality in its operations by 2028.
",12,Management_Of_Legal_And_Regulatory_Framework

"Texas Instruments aims to reduce absolute scope 1 and 2 GHG emissions by 15% from a 2015 baseline by the end of 2020.
",25,GHG_Emissions

"Texas Instruments aims to reduce absolute scope 1 and 2 GHG emissions by 25% from a 2015 baseline by the end of 2025.
",25,GHG_Emissions

"Since 2005, Texas Instruments has reduced per-chip GHG intensity by 69%.
",25,GHG_Emissions

"Texas Instruments aims to reduce energy intensity levels per chip at U.S. manufacturing sites 25% from a 2010 baseline, with a stretch goal of 50%, to achieve the U.S. Department of Energy’s Better Buildings, Better Plants program goal by the end of 2020.
",24,Energy_Management

"Texas Instruments aims to reduce water use worldwide by 2.6%.
",20,Water_And_Wastewater_Management

"HP aims to achieve net zero GHG emissions across its value chain by 2040, beginning with their Supplies business achieving carbon neutrality by 2030.
",25,GHG_Emissions

"HP aims to reduce its value chain GHG emissions 50% by 2030.
",25,GHG_Emissions

"HP will reach carbon neutrality in its operations by 2025.
",25,GHG_Emissions

"Netapp aims to reduce absolute scope 1 GHG emissions by 25% from a 2015 baseline by the end of 2025.
",25,GHG_Emissions

"Tesla aims to reduce its value chain GHG emissions 50% by 2030.
",25,GHG_Emissions

"Cisco will reduce its GHG emissions by 20% in 2024.
",25,GHG_Emissions

"Netapp reduced carbon emissions by 14% in 2021.
",25,GHG_Emissions

"Rakuten reduced scope 1 emissions by 6%.
",25,GHG_Emissions

"Google reduced scope 1 and scope 2 emissions by 10%.
",25,GHG_Emissions

"Qualcomm aims at reaching net-zero global greenhouse gas emissions for Scopes 1, 2 and 3 by 2040     
",25,GHG_Emissions

"
",26,Outlier
